gene	max	min
ADAM17	3.68938111198884	4.61843614552038e-06
PCDHA13	3.67313457744237	1.5127693164807e-06
RPL22L1	3.67211088610333	6.07607297808954e-10
RWDD4	3.67115559626311	5.67656899193025e-05
KLHL23	3.668485703955	2.51036567533447e-07
SUB1	3.663408419321	1.84172250783377e-08
ALG14	3.66089086110079	1.38434481655736e-07
FTH1	3.65662816069617	5.9249014583429e-09
CFB	3.63823837281177	3.06586311893398e-10
PCDHA3	3.63294143968483	4.29357579267986e-06
FSBP	3.6287417623439	5.5935662794937e-06
HEATR1	3.62667446813472	3.72542308113566e-09
GCC1	3.62592251299656	1.59621293960299e-09
CPZ	3.62545793712667	7.35758716174928e-08
LHFPL5	3.6235009582271	5.25719819579606e-05
BRD2	3.62270775829963	1.28840360602567e-09
MALL	3.6192436600617	4.95237628683753e-09
NOXA1	3.61693460461638	8.66384031183998e-09
CLCC1	3.61269786227227	5.54763778648493e-06
ZC3HAV1L	3.60376107180023	1.78679544493576e-07
GRK6	3.59414974780535	4.90025242561032e-06
HLA-A	3.59083496774152	2.07942107977033e-10
EPPK1	3.59079107799146	9.28121502319357e-05
MRPS18C	3.58274669019528	1.23481758151911e-08
NRAP	3.57867707804406	2.25647268023987e-05
SLC31A2	3.56883883585009	6.21492759478315e-08
DNLZ	3.5676324266826	7.55801554674917e-08
GTF2IRD2B	3.56733821679786	2.17299379823288e-07
NDUFA5	3.55942000291962	7.82283907874159e-07
MEMO1	3.55719586850371	2.49677674091231e-08
C6orf120	3.55438489856758	1.40604708778191e-05
PPP1R42	3.55112068116585	2.2992284964829e-07
CNNM2	3.54829790087713	1.01387498352423e-06
SPRR2F	3.5476208184479	8.43547899420649e-05
GTF2IRD2	3.52770415342612	3.71390392572835e-06
HOXA7	3.52265760625052	1.7658898165962e-07
SORBS2	3.52183402938964	6.62620802671654e-08
THOC3	3.51368077169522	7.08477143618325e-08
COX6C	3.50863463044551	8.70685541443095e-08
ATP5J2	3.50703111105986	3.51608520077207e-10
CCZ1	3.50667617867296	6.36998809255829e-09
RPSA	3.48599546185551	3.43345618603053e-09
AMACR	3.48154624159683	2.67388360342125e-08
