PC1	PC2	Project	sampleName
-80.1417435325877	-84.2030123282051	GTEX-V6	GTEX-Y5V5-2126-SM-4WWFO
-85.8178499039692	-78.1838414912341	GTEX-V6	GTEX-Y8LW-1626-SM-5IFHX
-51.5651742419693	-41.251695318882	GTEX-V6	GTEX-YB5K-1626-SM-5IFIN
-88.2376307903218	-116.039338557172	GTEX-V6	GTEX-YFC4-1426-SM-5IFJG
-112.439619830162	-3.90927639238653	GTEX-V6	GTEX-YJ8O-2226-SM-5IFHW
-55.8552873717406	-86.4925768024278	GTEX-V6	GTEX-ZAJG-0626-SM-5HL8X
-75.9129842931607	-105.668971265582	GTEX-V6	GTEX-ZC5H-2626-SM-5J2MG
-90.032932152633	-83.1398409896505	GTEX-V6	GTEX-ZF29-1926-SM-5S2P1
-91.7361765676384	-109.22212558704	GTEX-V6	GTEX-ZF2S-2026-SM-5E461
-90.5810761336637	-53.947843096439	GTEX-V6	GTEX-ZF3C-2326-SM-5S2MZ
-72.1278746657472	-95.6247440111845	GTEX-V6	GTEX-ZLV1-1426-SM-4WWES
-69.9631944529879	-39.6905934240648	GTEX-V6	GTEX-ZPIC-1126-SM-5BC7F
-50.1216155211878	18.3000141992164	GTEX-V6	GTEX-ZQG8-0726-SM-5P9H9
-69.4450930419912	-12.1649694311244	GTEX-V6	GTEX-ZV6S-1826-SM-5NQ8D
-33.555844489628	-73.3042032184706	GTEX-V6	GTEX-ZVT2-1826-SM-5NQ8W
-77.9798800403127	-36.8967481981777	GTEX-V6	GTEX-ZVT4-1026-SM-57WC4
-84.3680375234526	-73.4259836181294	GTEX-V6	GTEX-ZVZQ-0826-SM-51MRF
-71.3235887331523	-107.04364579152	GTEX-V6	GTEX-ZXES-0826-SM-5E43C
-62.2068907437339	-47.1611532498687	GTEX-V6	GTEX-ZYWO-2326-SM-5GZY4
-108.374926291289	2.75171681677519	GTEX-V6	GTEX-S32W-1526-SM-4AD6Z
-124.474939718629	3.32083282697974	GTEX-V6	GTEX-S341-1126-SM-4AD6T
-120.957286500751	-4.24706435119383	GTEX-V6	GTEX-S4UY-1426-SM-4AD6Y
-104.949545849201	40.6614794971924	GTEX-V6	GTEX-TSE9-2826-SM-4DXTF
