PC1	PC2	TCGA_Batch	sampleName
-108.240258979861	89.2829278105023	A22U	TCGA-GM-A3XL-01A-11R-A22U-07
-116.492587485265	61.4144644261526	A144	TCGA-E9-A1ND-01A-11R-A144-07
41.352018827024	-21.7291069193166	A32P	TCGA-S3-A6ZG-01A-22R-A32P-07
4.30361224051424	22.2449163848466	A13Q	TCGA-D8-A1J8-01A-11R-A13Q-07
83.2022088224813	115.671483201668	A084	TCGA-B6-A0RL-01A-11R-A084-07
25.8891992764627	9.45297105427519	A109	TCGA-AN-A0XO-01A-11R-A109-07
36.3563253991265	-18.9320941198352	A14M	TCGA-D8-A1XU-01A-11R-A14M-07
32.7949342008685	-7.32275419961847	A00Z	TCGA-AN-A049-01A-21R-A00Z-07
-55.7802690057465	-57.7843275256334	A18M	TCGA-AR-A2LH-01A-31R-A18M-07
26.2728325633834	38.9392959671151	A056	TCGA-B6-A0RG-01A-11R-A056-07
-12.035080710587	24.0902348504503	A14M	TCGA-BH-A202-01A-11R-A14M-07
-36.6682940528887	29.7550474913056	A16F	TCGA-C8-A275-01A-21R-A16F-07
6.90258076996061	-73.7421098488486	A109	TCGA-A2-A0YD-01A-11R-A109-07
12.0540616924093	-47.617359348118	A13Q	TCGA-EW-A1J5-01A-11R-A13Q-07
16.5561854140402	76.2203959952025	A115	TCGA-C8-A137-01A-11R-A115-07
-115.747112357875	51.7233791991496	A115	TCGA-C8-A12K-01A-21R-A115-07
-21.0652249796298	-91.0618567433035	A33J	TCGA-AC-A6IV-01A-12R-A33J-07
40.3520979124671	38.7277535477481	A00Z	TCGA-A8-A084-01A-21R-A00Z-07
-8.87831275423311	-35.4220669979334	A109	TCGA-B6-A0WY-01A-11R-A109-07
5.91030539628337	14.0939762766832	A16F	TCGA-D8-A27N-01A-11R-A16F-07
56.1469122070022	17.2803689497533	A034	TCGA-A2-A04V-01A-21R-A034-07
42.9934652632002	-19.0198570014447	A169	TCGA-AR-A24X-01A-11R-A169-07
0.714204688167457	-56.892520331464	A115	TCGA-BH-A0BP-01A-11R-A115-07
1.55676277206443	-85.7075529363806	A12P	TCGA-BH-A0DV-01A-21R-A12P-07
16.2835295450688	16.1708183661145	A14M	TCGA-AQ-A0Y5-01A-11R-A14M-07
67.5906292743419	21.1417500685687	A32Y	TCGA-A8-A08A-01A-11R-A32Y-07
46.7629880722578	-35.4075279804082	A277	TCGA-A7-A26E-01A-11R-A277-07
61.9575275290652	30.7897001032466	A144	TCGA-A1-A0SQ-01A-21R-A144-07
32.5681909296979	-39.4086828537435	A32P	TCGA-D8-A73X-01A-11R-A32P-07
33.6349938216725	59.8016304928526	A00Z	TCGA-A8-A07B-01A-11R-A00Z-07
-7.98214920499021	23.2924546582237	A266	TCGA-A2-A4S3-01A-21R-A266-07
-3.51302618924492	-71.9317787011662	A144	TCGA-E2-A1IJ-01A-11R-A144-07
11.2464349488229	-64.8759352616851	A22K	TCGA-E2-A14U-01A-11R-A22K-07
-21.6019405172643	-72.3117812366377	A14M	TCGA-E9-A1NE-01A-21R-A14M-07
28.3155304484954	43.4268633615589	A16F	TCGA-C8-A26V-01A-11R-A16F-07
-97.892244319143	-72.7900714897829	A24H	TCGA-LL-A441-01A-11R-A24H-07
67.1869355643538	30.6696112657453	A00Z	TCGA-A8-A08C-01A-11R-A00Z-07
-133.317526630946	43.3430217755183	A29R	TCGA-E2-A573-01A-11R-A29R-07
66.2204233102288	52.1213432670733	A180	TCGA-GM-A2DM-01A-11R-A180-07
-119.494901489429	-41.6060074472272	A084	TCGA-A2-A0SX-01A-12R-A084-07
-123.613349555496	20.2140310225726	A239	TCGA-B6-A400-01A-11R-A239-07
23.9125747509095	-20.5925231695415	A115	TCGA-BH-A0C7-01B-11R-A115-07
-110.543878316054	-82.5135551619235	A144	TCGA-EW-A1P7-01A-21R-A144-07
-5.81361835160398	27.8637252427264	A12P	TCGA-AR-A1AT-01A-11R-A12P-07
26.2709314426568	-5.54973813566346	A239	TCGA-B6-A40B-01A-11R-A239-07
1.99510040692268	-57.3493995683796	A12P	TCGA-AR-A1AU-01A-11R-A12P-07
36.9344001335827	-40.6907858311714	A00Z	TCGA-A8-A07J-01A-11R-A00Z-07
62.1460735826691	26.6869823862284	A13Q	TCGA-EW-A1J1-01A-11R-A13Q-07
-48.782814662037	11.894400541297	A115	TCGA-AO-A12D-01A-11R-A115-07
