PC1	PC2	Project	sampleName
62.773599632256	-40.6939270700479	GTEX-V6	GTEX-S32W-1126-SM-4AD5V
26.2219193275589	66.3947772171287	GTEX-V6	GTEX-S3XE-1226-SM-4AD4L
48.968875042978	43.5523622125984	GTEX-V6	GTEX-S4Q7-0926-SM-4AD5D
32.1285726589257	88.6739199907442	GTEX-V6	GTEX-S4UY-0926-SM-4AD6O
42.2424810339132	-95.6064544412746	GTEX-V6	GTEX-SE5C-1026-SM-4BRUG
14.2448826428086	86.4926018445068	GTEX-V6	GTEX-SNMC-0826-SM-4DM66
-1.40048240433402	107.048381264912	GTEX-V6	GTEX-SNOS-0526-SM-4DM54
62.1801518908397	-76.7173354942131	GTEX-V6	GTEX-U3ZM-0826-SM-4DXU6
50.7027774290031	-32.2547442409341	GTEX-V6	GTEX-U4B1-1226-SM-4DXT7
37.1523950489995	31.3089243157603	GTEX-V6	GTEX-1117F-2826-SM-5GZXL
34.9815771470513	76.4794278070337	GTEX-V6	GTEX-11EM3-1326-SM-5N9C6
45.0524776254157	25.9524569455294	GTEX-V6	GTEX-11I78-2226-SM-5PNYA
51.7561454779107	95.3428789742843	GTEX-V6	GTEX-11P81-1926-SM-5BC53
25.133825856016	37.5565762178455	GTEX-V6	GTEX-1211K-1926-SM-5EQLB
51.5073444510481	97.6970184738753	GTEX-V6	GTEX-1269C-2426-SM-5FQSN
73.132623711049	-15.386307976	GTEX-V6	GTEX-12WSB-0626-SM-59HJO
50.2106427683406	-1.67205937384357	GTEX-V6	GTEX-12WSK-2226-SM-5GCO5
64.8926811833082	83.3403990428971	GTEX-V6	GTEX-12ZZX-1126-SM-5EGKB
40.550618154047	48.5923391751252	GTEX-V6	GTEX-13113-1726-SM-5GCOO
60.5181341402456	37.5347637591327	GTEX-V6	GTEX-1313W-0826-SM-5EQ4T
33.4816121061428	87.8242014636622	GTEX-V6	GTEX-131XW-0726-SM-5EGK3
55.4460268065816	91.2490280813113	GTEX-V6	GTEX-131YS-0626-SM-5EGKL
37.9857137460705	-37.0048866954859	GTEX-V6	GTEX-132AR-0826-SM-5EGK6
33.6825464482969	52.5533435124613	GTEX-V6	GTEX-133LE-1726-SM-5K7VQ
26.8780133415787	48.5682144028735	GTEX-V6	GTEX-1399U-1826-SM-5PNZ1
3.6361400771327	-53.1701541575258	GTEX-V6	GTEX-13CF3-2126-SM-5IFJP
28.9871620836624	49.3454902532591	GTEX-V6	GTEX-13D11-1026-SM-5IJFB
35.1989583228892	-49.5689790465473	GTEX-V6	GTEX-13FTX-1126-SM-5N9EN
50.197505674457	104.239835978408	GTEX-V6	GTEX-13FTY-2226-SM-5J1ND
65.801694781002	83.383375050672	GTEX-V6	GTEX-13N11-1726-SM-5J1OJ
21.2426978684994	38.5592499015944	GTEX-V6	GTEX-13O3O-0826-SM-5K7WE
56.0134394759229	83.3574860257545	GTEX-V6	GTEX-13PL6-2926-SM-5L3I2
47.7737242865421	95.3449207473534	GTEX-V6	GTEX-13QIC-2326-SM-5LU5N
47.376825966849	60.7952649978459	GTEX-V6	GTEX-13W3W-1226-SM-5LU4H
21.8393508902821	-61.3870583219086	GTEX-V6	GTEX-145ME-1526-SM-5Q5F2
52.3420528018311	49.4069501998723	GTEX-V6	GTEX-146FH-0826-SM-5SI8T
-16.4720241986617	21.6673287403921	GTEX-V6	GTEX-14AS3-1626-SM-5S2OY
57.6017065655393	93.6579021872277	GTEX-V6	GTEX-Q2AG-0326-SM-48U1O
37.7442705433509	71.2281177104163	GTEX-V6	GTEX-QDT8-0626-SM-48TYW
59.526564615326	22.3182899930249	GTEX-V6	GTEX-QVJO-1826-SM-447C9
59.3598776520802	48.3578959586077	GTEX-V6	GTEX-R53T-1526-SM-48FEK
52.4769107237499	81.0848972276114	GTEX-V6	GTEX-RU72-0626-SM-46MUI
42.68606214039	2.01536346554076	GTEX-V6	GTEX-S32W-2026-SM-4AD6E
54.3043033162124	81.4307237571624	GTEX-V6	GTEX-S341-1526-SM-4AD6K
35.6792127491544	82.7230043208804	GTEX-V6	GTEX-S4UY-0726-SM-4AD6X
8.06420542733757	41.3740174079759	GTEX-V6	GTEX-SE5C-2126-SM-4BRUJ
43.9043448290108	78.8768858222713	GTEX-V6	GTEX-T5JW-2026-SM-4DM63
42.5220196780579	57.4305267690725	GTEX-V6	GTEX-T6MO-0326-SM-32QOK
82.4850546402919	69.5166203088234	GTEX-V6	GTEX-TML8-1226-SM-32QON
63.8099281717829	79.0451301259248	GTEX-V6	GTEX-U3ZN-1926-SM-4DXSG
52.4730720213727	54.9157267586926	GTEX-V6	GTEX-UJHI-1426-SM-3DB9C
35.7911946305817	47.31286611738	GTEX-V6	GTEX-VJWN-0726-SM-3GIJ8
46.4738749665773	49.6990625076355	GTEX-V6	GTEX-WI4N-1426-SM-3LK7H
65.4777927006985	85.5041899385158	GTEX-V6	GTEX-WRHU-0326-SM-3MJFY
54.7633598226568	65.5644458501167	GTEX-V6	GTEX-WXYG-2226-SM-4E3IM
51.0776188454358	102.559830490727	GTEX-V6	GTEX-WYBS-0926-SM-3NM94
64.5416286454353	108.144578981924	GTEX-V6	GTEX-WYVS-1726-SM-3NMAY
63.6537565178985	94.8709293472245	GTEX-V6	GTEX-X15G-1626-SM-3NMB3
39.4163265578631	61.1585324745232	GTEX-V6	GTEX-X4EP-2926-SM-3P5YQ
36.8782743721798	77.8847946485137	GTEX-V6	GTEX-XMD2-0926-SM-4WWEF
48.8440381869184	56.9454889614345	GTEX-V6	GTEX-XUJ4-1926-SM-4BOOV
